"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-79.0625","-0.468342989683151","2204","20.449","11.175","23.454956376","1.78272460865791","0.977821037213428","9.705931632",
"1/2/1979","-79.0625","-0.468342989683151","2204","19.851","10.441","31.498143336","2.01558629010527","0.978327669309374","8.4948228",
"1/3/1979","-79.0625","-0.468342989683151","2204","19.542","10.688","23.196607164","2.141715624598","0.981182470936382","10.37412666",
"1/4/1979","-79.0625","-0.468342989683151","2204","19.211","12.755","24.0068387592","1.65880965659273","0.982332684190714","10.91294838",
"1/5/1979","-79.0625","-0.468342989683151","2204","20.373","12.626","18.695645028","1.72737722301254","0.97762261190204","9.26459784",
"1/6/1979","-79.0625","-0.468342989683151","2204","19.913","15.115","3.495026556","1.50276421163916","0.938004276762668","15.879321",
"1/7/1979","-79.0625","-0.468342989683151","2204","19.016","15.737","15.47527176","1.47627284914693","0.960259013148075","7.68903462",
"1/8/1979","-79.0625","-0.468342989683151","2204","20.635","14.325","6.67934604","1.54043490418202","0.939382540837129","13.26375432",
"1/9/1979","-79.0625","-0.468342989683151","2204","21.972","12.146","13.887405468","1.78473116507528","0.929410237613261","17.6381442",
"1/10/1979","-79.0625","-0.468342989683151","2204","19.967","15.806","12.7475728128","1.40988829751908","0.966689620551958","10.671021072",
"1/11/1979","-79.0625","-0.468342989683151","2204","20.913","12.383","9.352975104","1.82439005392125","0.939983992675612","13.172680008",
"1/12/1979","-79.0625","-0.468342989683151","2204","20.941","11.842","13.491725904","1.97819862127677","0.931934924612305","19.8465183",
"1/13/1979","-79.0625","-0.468342989683151","2204","19.394","11.809","6.3240047064","1.86108978674495","0.95351432236629","12.5446428",
"1/14/1979","-79.0625","-0.468342989683151","2204","19.728","11.657","4.79107044","2.15969036620258","0.935004837331762","12.26778462",
"1/15/1979","-79.0625","-0.468342989683151","2204","17.059","13.538","1.8659596392","1.39867252557323","0.971240899395084","5.59130472",
"1/16/1979","-79.0625","-0.468342989683151","2204","21.263","10.536","9.54437472","1.60578436158996","0.912109768960007","18.3318192",
"1/17/1979","-79.0625","-0.468342989683151","2204","22.188","11.918","2.67963408","2.54403542846625","0.851032792790744","24.8585652",
"1/18/1979","-79.0625","-0.468342989683151","2204","21.97","12.995","12.5724833064","1.99119905332899","0.921772467751845","13.983077592",
"1/19/1979","-79.0625","-0.468342989683151","2204","20.849","12.842","10.297110996","1.55067975725192","0.944290006102297","14.889320568",
"1/20/1979","-79.0625","-0.468342989683151","2204","21.394","12.773","8.869742856","2.04922025914103","0.926809606463528","14.8257558",
"1/21/1979","-79.0625","-0.468342989683151","2204","21.086","12.825","7.626916692","2.06639982259272","0.927388015434782","12.6452304",
"1/22/1979","-79.0625","-0.468342989683151","2204","19.876","13.463","9.197616996","1.74067452273364","0.95420424353484","11.988785592",
"1/23/1979","-79.0625","-0.468342989683151","2204","21.434","15.027","10.893634668","2.01533050333881","0.9343530276298","16.059266568",
"1/24/1979","-79.0625","-0.468342989683151","2204","21.258","15.284","5.877689688","1.70814125298835","0.902385796339572","15.2361054",
"1/25/1979","-79.0625","-0.468342989683151","2204","21.062","14.935","0.775909908","1.59014409597371","0.891709250885512","16.890020568",
"1/26/1979","-79.0625","-0.468342989683151","2204","22.427","12.178","5.365282212","1.89264571897103","0.888547097886482","18.028857168",
"1/27/1979","-79.0625","-0.468342989683151","2204","22.335","12.848","11.6558087256","1.97730966217219","0.903184113733584","16.3566036",
"1/28/1979","-79.0625","-0.468342989683151","2204","21.927","14.783","17.94204864","1.89358997295218","0.935934931650292","12.75120126",
"1/29/1979","-79.0625","-0.468342989683151","2204","19.874","15.665","7.341955308","1.47055469363607","0.94540707684783","8.10258597",
"1/30/1979","-79.0625","-0.468342989683151","2204","22.354","13.552","18.929957688","1.53613541886336","0.923512083868963","13.7554875",
"1/31/1979","-79.0625","-0.468342989683151","2204","21.928","15.228","26.93882268","1.72887714607804","0.94112683073423","19.431004032",
"2/1/1979","-79.0625","-0.468342989683151","2204","20.474","14.277","19.236375468","1.63143677836854","0.964756523500615","12.20529654",
"2/2/1979","-79.0625","-0.468342989683151","2204","21.033","13.408","21.306607488","1.66254220283368","0.957247309419631","12.429162288",
"2/3/1979","-79.0625","-0.468342989683151","2204","21.418","12.481","24.9578429256","1.95570990510375","0.966850471308977","11.195104752",
"2/4/1979","-79.0625","-0.468342989683151","2204","21.191","11.341","21.889399212","2.3734710480712","0.950006056536535","18.846789768",
"2/5/1979","-79.0625","-0.468342989683151","2204","21.056","12.294","20.5830606384","1.81982114756753","0.96281695075733","16.6661487",
"2/6/1979","-79.0625","-0.468342989683151","2204","22.013","8.005","14.67790506","1.67810071064152","0.965512278305062","16.0405281",
"2/7/1979","-79.0625","-0.468342989683151","2204","22.465","8.00099999999998","31.031231508","2.11262516045159","0.96790486110303","12.82663845",
"2/8/1979","-79.0625","-0.468342989683151","2204","19.715","10.848","22.79835306","2.14294539679076","0.974779985070111","11.26327905",
"2/9/1979","-79.0625","-0.468342989683151","2204","21.502","7.99700000000001","25.0792969752","2.06351330611608","0.974601064601221","9.02266758",
"2/10/1979","-79.0625","-0.468342989683151","2204","20.878","11.555","31.9667796864","1.53241234760696","0.978956284947582","12.4937442",
"2/11/1979","-79.0625","-0.468342989683151","2204","21.447","9.35000000000002","14.5465844904","2.95032117228975","0.958575519036629","15.61714245",
"2/12/1979","-79.0625","-0.468342989683151","2204","21.467","9.59300000000002","31.779661248","2.47949956424909","0.969629100026553","17.98239285",
"2/13/1979","-79.0625","-0.468342989683151","2204","20.058","10.564","25.21705194","2.20960825604461","0.975669800785685","11.17046025",
"2/14/1979","-79.0625","-0.468342989683151","2204","22.841","9.101","11.769961464","2.78744531661227","0.960126552885859","17.37926289",
"2/15/1979","-79.0625","-0.468342989683151","2204","21.12","10.208","27.495005184","2.13053043638299","0.973531994284692","12.7857348",
"2/16/1979","-79.0625","-0.468342989683151","2204","20.546","10.249","21.826741068","2.25151791696156","0.975614045072893","11.91785166",
"2/17/1979","-79.0625","-0.468342989683151","2204","20.283","12.959","21.04739748","1.15307219989545","0.988155968702611","12.5601183",
"2/18/1979","-79.0625","-0.468342989683151","2204","22.129","9.33699999999999","11.739918564","3.00315178555825","0.963200166086236","14.42756538",
"2/19/1979","-79.0625","-0.468342989683151","2204","22.226","9.649","14.047042284","3.21661751362348","0.961036764751817","19.453832568",
"2/20/1979","-79.0625","-0.468342989683151","2204","21.688","9.35000000000002","6.4407339","3.10784438424541","0.958004400390628","15.62782545",
"2/21/1979","-79.0625","-0.468342989683151","2204","21.342","8.48899999999998","5.900005836","3.88789711771302","0.962117828044856","12.22256115",
"2/22/1979","-79.0625","-0.468342989683151","2204","21.88","8.38799999999998","13.18359564","3.46461811307175","0.958941616167963","11.77425",
"2/23/1979","-79.0625","-0.468342989683151","2204","21.005","9.99099999999999","10.56918942","2.54998158935123","0.964266063646005","9.96300225",
"2/24/1979","-79.0625","-0.468342989683151","2204","19.457","11.995","14.7268283328","1.17182921177646","0.980741475197898","9.5217696",
"2/25/1979","-79.0625","-0.468342989683151","2204","17.39","12.459","4.8305541168","1.68608048180331","0.982427493393062","6.2489808",
"2/26/1979","-79.0625","-0.468342989683151","2204","17.367","12.505","11.796566004","0.940222381776601","0.986964155057265","7.03001709",
"2/27/1979","-79.0625","-0.468342989683151","2204","19.351","11.067","1.8247616784","1.44167185679501","0.983033784764975","15.907330368",
"2/28/1979","-79.0625","-0.468342989683151","2204","20.817","10.167","2.2315991616","2.91275976634882","0.942821908620018","15.06132765",
